mesh_code,second,sixth,latest,latest_single
30365001,0,0,0,0
36225700,0,0,0,0
36225701,0,0,0,0
36225711,0,0,0,0
36235000,0,0,0,0
36235010,0,0,0,0
36232400,0,0,0,0
36232401,0,0,0,0
36233500,0,0,0,0
36233501,0,0,0,0
36233510,0,0,0,0
36233511,0,0,0,0
36234500,0,0,0,0
36234501,0,0,0,0
36234511,0,0,0,0
36230610,0,0,0,0
36233600,0,0,0,0
36233601,0,0,0,0
36233610,0,0,0,0
36233611,0,0,0,0
36234600,0,0,0,0
36234601,0,0,0,0
36234610,0,0,0,0
36234611,0,0,0,0
36235600,0,0,0,0
36235601,0,0,0,0
36235611,0,0,0,0
36232710,0,0,0,0
36232711,0,0,0,0
36233700,0,0,0,0
36233701,0,0,0,0
36233710,0,0,0,0
36233711,0,0,0,0
36234700,0,0,0,0
36234701,0,0,0,0
36234710,0,0,0,0
36242010,0,0,0,0
36243000,0,0,0,0
36243010,0,0,0,0
36243011,0,0,0,0
36244000,0,0,0,0
36244001,0,0,0,0
36244011,0,0,0,0
36245001,0,0,0,0
36245011,0,0,0,0
36243100,0,0,0,0
36243110,0,0,0,0
36243111,0,0,0,0
36244100,0,0,0,0
36244101,0,0,0,0
36244110,0,0,0,0
36244111,0,0,0,0
36245100,0,0,0,0
36245101,0,0,0,0
36245110,0,0,0,0
36245111,0,0,0,0
36246101,0,0,0,0
36244200,0,0,0,0
36244210,0,0,0,0
36245200,0,0,0,0
36245210,0,0,0,0
36246200,0,0,0,0
36246210,0,0,0,0
36246211,0,0,0,0
36247200,0,0,0,0
36247201,0,0,0,0
36247510,0,0,0,0
36247511,0,0,0,0
36315110,0,0,0,0
36315111,0,0,0,0
36412311,0,0,0,0
36533701,0,0,0,0
36533711,0,0,0,0
37240500,0,0,0,0
37240501,0,0,0,0
37240511,0,0,0,0
37241500,0,0,0,0
37241501,0,0,0,0
37250111,0,0,0,0
37251110,0,0,0,0
37251111,0,0,0,0
37252100,0,0,0,0
37252101,0,0,0,0
37253101,0,0,0,0
37250210,0,0,0,0
37250211,0,0,0,0
37251200,0,0,0,0
37251201,0,0,0,0
37251210,0,0,0,0
37251211,0,0,0,0
37252200,0,0,0,0
37252201,0,0,0,0
37252210,0,0,0,0
37253200,0,0,0,0
37253211,0,0,0,0
37250310,0,0,0,0
37250311,0,0,0,0
37251300,0,0,0,0
37251301,0,0,0,0
37410210,0,0,0,0
37411200,0,0,0,0
37411201,0,0,0,0
37411210,0,0,0,0
37411211,0,0,0,0
37411300,0,0,0,0
38234311,0,0,0,0
38235301,0,0,0,0
38234410,0,0,0,0
38235400,0,0,0,0
38235401,0,0,0,0
38237500,0,0,0,0
38237501,0,0,0,0
38247400,0,0,0,0
38315111,0,0,0,0
38316101,0,0,0,0
38315210,0,0,0,0
38316200,0,0,0,0
38317200,0,0,0,0
38317201,0,0,0,0
38317210,0,0,0,0
38411200,0,0,0,0
39263511,0,0,0,0
39264501,0,0,0,0
39264511,0,0,0,0
39263600,0,0,0,0
39263601,0,0,0,0
39263610,0,0,0,0
39263611,0,0,0,0
39264600,0,0,0,0
39264601,0,0,0,0
39264610,0,0,0,0
39267601,0,0,0,0
39264700,0,0,0,0
39274011,0,0,0,0
39271111,0,0,0,0
39272101,0,0,0,0
